0.38,115600,3
0.51,214515,10
0.35,309529,20
0.19,265320,20
0.83,490021,22
0.77,340207,15
0.36,177970,9
0.51,277452,15
0.44,117550,3
0.56,339274,18
0.80,387766,17
0.02,135638,8
0.87,326619,13
0.56,288757,15
0.05,210376,16
0.92,378532,15
0.30,282507,19
0.49,256448,14
0.05,123813,6
0.05,188881,14
0.40,356436,22
0.80,499363,23
0.45,44025,1
0.69,112490,2
0.27,260680,18
0.71,125616,3
0.74,159950,5
0.79,114590,2
0.35,204815,11
0.34,231695,13
0.62,202612,9
0.66,111860,2
0.55,109550,2
0.64,64190,1
0.57,158585,6
0.51,183365,8
0.11,145891,9
0.59,331549,17
0.18,296893,23
0.37,258337,16
0.38,36360,1
0.61,110810,2
0.12,237965,17
0.33,249300,16
0.31,147773,7
0.36,133010,5
0.11,226347,19
0.26,189932,11
0.31,327436,22
0.80,483238,22
0.92,316990,12
0.30,121272,4
0.53,169813,7
0.02,163687,12
0.59,331549,17
0.18,234870,18
0.31,198467,11
0.33,244823,14
0.89,389575,16
0.93,483027,20
0.09,220590,16
0.16,184762,12
0.09,256059,22
0.37,124410,4
0.32,186426,10
0.66,366546,18
0.74,260650,11
0.14,115078,4
0.86,324652,13
0.34,308862,20
0.85,322685,13
0.06,119357,5
0.70,431210,21
0.69,112490,2
0.49,47915,1
0.30,255516,17
0.58,159740,6
0.86,148216,4
0.38,223752,12
0.08,240366,18
0.10,132350,7
0.44,117550,3
0.84,495516,22
0.62,253948,12
0.50,211930,11
0.58,327104,17
0.92,439381,18
0.30,241992,16
0.83,278920,11
0.98,433504,17
0.31,130617,5
0.62,236290,11
0.42,225420,13
0.50,140002,5
0.42,362614,22
0.55,399224,22
0.53,153965,6
0.53,141855,5
0.74,297772,13
0.61,268925,13
0.77,398473,18
0.48,179032,8
0.29,121101,4
0.02,135638,8
0.61,370841,19
0.75,262680,11
0.27,234219,16
0.10,248470,21
0.05,234184,18
1.00,439538,17
0.13,8985,1
0.83,201841,7
0.11,240643,20
0.22,221880,14
0.04,231826,21
0.58,261386,13
0.41,373349,23
0.76,449690,21
0.79,128136,3
0.18,109100,3
0.47,362575,21
0.76,338387,15
0.53,217945,10
0.26,243593,15
0.76,190718,7
0.09,248068,21
0.99,102165,1
0.98,330430,12
0.40,236336,14
0.51,374895,21
0.85,322685,13
0.60,416997,22
0.09,267135,23
0.84,151053,4
0.66,332490,16
0.84,115640,2
0.81,293505,12
0.50,352582,20
0.67,246440,11
0.15,290220,23
0.80,216328,8
0.78,287478,12
0.98,496432,20
0.66,186627,7
0.40,266060,16
0.64,429275,22
0.60,59850,1
0.99,227895,7
0.30,211036,12
0.09,145188,9
0.48,210630,10
0.35,218823,12
0.80,81550,1
0.72,113120,2
0.91,355526,14
0.24,103280,2
0.02,107438,3
0.32,328120,22
0.86,442192,19
0.43,229035,13
0.89,211501,7
0.85,342191,14
0.03,252159,20
0.83,355537,15
0.97,553844,23
0.27,128477,5
0.52,279272,15
0.56,323926,17
0.84,300918,12
0.84,184260,6
0.09,208190,15
0.69,268011,12
0.90,471792,20
0.77,192181,7
0.70,468878,23
0.64,149450,5
0.05,245615,19
0.49,149870,6
0.27,128477,5
0.81,237003,9
1.00,418520,16
0.79,270800,11
0.70,468878,23
0.22,285275,21
0.94,199310,6
0.34,123120,4
0.53,185976,8
0.18,14460,1
0.66,348384,17
0.51,402987,23
0.77,454975,21
0.60,416997,22
0.79,422501,19
0.50,119000,3
0.06,262470,23
0.17,137347,7
0.41,313895,19
0.92,418258,17
0.27,275420,19
0.31,327436,22
0.71,156975,5
0.41,214540,11
0.08,172964,12
0.67,424175,21
0.90,412224,17
0.38,143320,6
0.10,261119,22
0.39,338746,21
0.62,372115,19
0.86,381910,16
0.69,124986,3
0.62,304087,15
0.77,192181,7
0.05,1168,1
0.67,229202,10
0.92,418258,17
0.88,465632,20
0.39,225395,12
0.85,479615,21
0.62,339172,17
0.14,107800,3
0.30,129802,5
0.42,126432,4
0.59,263353,13
0.07,143552,9
0.49,225059,12
0.27,302695,21
0.58,132860,4
0.23,110726,3
0.68,425050,21
0.49,242045,13
0.71,415267,20
0.45,44025,1
0.93,340059,13
0.47,282265,16
0.53,249913,13
0.91,275087,10
0.45,339627,20
0.26,270505,19
0.63,221082,10
0.95,446920,18
0.91,455744,19
0.24,118692,4
0.07,125753,6
0.19,302678,23
0.73,140735,4
0.25,188225,11
0.38,223752,12
0.88,507794,22
0.79,326945,14
0.87,169227,5
0.96,532350,22
0.38,223752,12
0.52,358742,20
0.36,133010,5
0.67,152775,5
0.90,312972,12
0.30,196760,11
0.29,250386,15
0.16,248673,17
0.55,54425,1
0.28,166060,9
0.53,185976,8
0.55,205787,10
0.98,496432,20
0.71,71785,1
0.05,223160,20
0.30,182958,10
0.88,328586,13
0.52,119630,3
0.75,392376,18
0.20,132160,6
0.08,137392,8
0.05,188881,14
0.22,272267,20
0.75,170715,6
0.91,535553,23
0.96,161082,4
0.65,328255,16
0.84,357357,15
0.41,357099,22
0.88,116480,2
0.09,244566,18
0.94,158534,4
0.47,128371,4
0.09,234876,20
0.10,261119,22
0.66,278760,13
0.95,489187,20
0.88,190280,6
0.22,209100,13
0.04,244078,22
0.37,332981,21
0.50,119000,3
0.92,357430,14
0.34,236648,15
0.82,315146,13
0.83,201841,7
0.51,151655,6
0.62,122780,3
0.57,426591,23
0.47,374668,22
0.25,215907,13
0.95,404905,16
0.52,168770,7
0.92,216331,7
0.74,242467,10
0.14,149452,9
0.62,270892,13
0.15,252762,20
0.19,250919,19
0.47,107870,2
0.24,253395,16
0.74,297772,13
0.86,517654,23
0.22,285275,21
0.41,126261,4
0.42,271590,16
0.94,547355,23
0.46,296612,17
0.37,272114,17
0.71,272029,12
0.89,251563,9
0.47,208915,10
0.59,296422,15
0.06,191532,14
0.14,181446,12
0.11,6795,1
0.14,229300,16
0.63,272859,13
0.85,166427,5
0.07,216552,16
0.61,370841,19
0.85,419648,18
